state;action_reward;n_state
690&2|880&5|307&4|302&3|350&2|887&4|682&2|750&5|332&3|346&3|286&5|313&4;294&3|689&3|335&3|895&2;690&2|880&5|307&4|302&3|350&2|887&4|682&2|750&5|332&3|346&3|286&5|313&4|294&3|689&3|335&3|895&2
106&5|371&1|522&5|179&4|716&4|678&4|68&3|118&3|22&1|473&4|231&3|191&4;412&3|417&2|346&4|401&4;106&5|371&1|522&5|179&4|716&4|678&4|68&3|118&3|22&1|473&4|231&3|191&4|412&3|417&2|346&4|401&4
28&5|294&3|183&3|1065&5|655&4|657&5|11&3|588&3|197&4|257&4|270&5|89&5;117&3|423&3|956&4|222&4;28&5|294&3|183&3|1065&5|655&4|657&5|11&3|588&3|197&4|257&4|270&5|89&5|117&3|423&3|956&4|222&4
307&4|333&4|301&4|306&4|269&3|879&5|302&4|338&2|268&4|682&3|750&3|332&4;350&3|358&3|880&4|261&3;307&4|333&4|301&4|306&4|269&3|879&5|302&4|338&2|268&4|682&3|750&3|332&4|350&3|358&3|880&4|261&3
286&5|475&3|111&3|313&5|289&4|255&3|298&4|740&2|244&5|293&5|405&3|283&4;120&1|1258&5|1244&3|274&4;286&5|475&3|111&3|313&5|289&4|255&3|298&4|740&2|244&5|293&5|405&3|283&4|120&1|1258&5|1244&3|274&4
235&4|408&5|475&3|354&2|212&2|7&2|265&2|90&4|288&2|52&3|732&3|96&2;121&2|29&2|218&2|185&4;235&4|408&5|475&3|354&2|212&2|7&2|265&2|90&4|288&2|52&3|732&3|96&2|121&2|29&2|218&2|185&4
222&2|111&3|98&5|166&4|83&3|727&3|387&3|502&4|739&4|238&4|421&3|12&4;148&1|121&2|659&5|234&4;222&2|111&3|98&5|166&4|83&3|727&3|387&3|502&4|739&4|238&4|421&3|12&4|148&1|121&2|659&5|234&4
825&3|181&3|683&3|370&3|298&4|479&3|1010&3|1375&3|977&2|15&1|1013&3|234&3;269&4|328&2|270&4|749&3;825&3|181&3|683&3|370&3|298&4|479&3|1010&3|1375&3|977&2|15&1|1013&3|234&3|269&4|328&2|270&4|749&3
202&4|91&4|332&4|328&3|216&4|223&4|1119&3|15&5|304&3|325&4|127&4|326&5;432&5|222&5|176&4|318&5;202&4|91&4|332&4|328&3|216&4|223&4|1119&3|15&5|304&3|325&4|127&4|326&5|432&5|222&5|176&4|318&5
498&5|615&3|135&3|511&4|197&5|427&5|303&4|50&5|362&3|539&3|750&4|607&5;1204&4|584&4|662&4|183&3;498&5|615&3|135&3|511&4|197&5|427&5|303&4|50&5|362&3|539&3|750&4|607&5|1204&4|584&4|662&4|183&3
204&3|475&5|465&3|20&4|182&3|237&4|574&1|265&3|273&4|596&3|100&5|108&4;31&3|687&2|34&3|301&4;204&3|475&5|465&3|20&4|182&3|237&4|574&1|265&3|273&4|596&3|100&5|108&4|31&3|687&2|34&3|301&4
262&3|319&3|289&3|678&4|288&4|321&2|269&4|690&4|325&4|302&4|687&1|268&3;988&2|948&4|875&3|1048&5;262&3|319&3|289&3|678&4|288&4|321&2|269&4|690&4|325&4|302&4|687&1|268&3|988&2|948&4|875&3|1048&5
474&5|408&5|194&4|204&5|735&4|196&5|709&3|134&3|435&3|116&4|132&4|405&2;265&4|652&4|49&2|313&5;474&5|408&5|194&4|204&5|735&4|196&5|709&3|134&3|435&3|116&4|132&4|405&2|265&4|652&4|49&2|313&5
270&4|237&4|7&3|471&3|15&3|300&3|125&4|129&4|676&5|742&3|124&4|321&4;544&4|696&4|117&4|628&5;270&4|237&4|7&3|471&3|15&3|300&3|125&4|129&4|676&5|742&3|124&4|321&4|544&4|696&4|117&4|628&5
77&1|79&4|708&3|28&3|98&5|235&2|412&4|673&3|975&4|216&5|178&4|68&1;111&3|1221&2|15&5|340&5;77&1|79&4|708&3|28&3|98&5|235&2|412&4|673&3|975&4|216&5|178&4|68&1|111&3|1221&2|15&5|340&5
9&3|304&1|243&3|690&4|750&4|259&2|538&3|270&5|310&4|263&3|289&4|358&3;266&2|892&1|893&3|890&4;9&3|304&1|243&3|690&4|750&4|259&2|538&3|270&5|310&4|263&3|289&4|358&3|266&2|892&1|893&3|890&4
863&2|382&5|318&5|197&5|268&5|515&4|317&5|180&1|286&4|191&3|246&5|527&5;179&1|423&4|511&4|87&5;863&2|382&5|318&5|197&5|268&5|515&4|317&5|180&1|286&4|191&3|246&5|527&5|179&1|423&4|511&4|87&5
748&4|169&4|53&3|441&4|393&4|403&4|42&4|993&3|70&4|450&3|195&5|383&2;728&3|62&5|410&4|158&3;748&4|169&4|53&3|441&4|393&4|403&4|42&4|993&3|70&4|450&3|195&5|383&2|728&3|62&5|410&4|158&3
597&4|747&1|15&5|322&4|367&4|585&2|697&3|71&5|938&3|401&3|405&4|542&4;1291&1|468&4|1165&2|866&4;597&4|747&1|15&5|322&4|367&4|585&2|697&3|71&5|938&3|401&3|405&4|542&4|1291&1|468&4|1165&2|866&4
873&3|678&4|300&5|324&1|325&1|243&3|313&5|876&2|748&3|258&4|299&3|245&3;330&2|881&2|1025&3|681&1;873&3|678&4|300&5|324&1|325&1|243&3|313&5|876&2|748&3|258&4|299&3|245&3|330&2|881&2|1025&3|681&1
214&5|282&5|174&4|117&5|240&3|56&5|181&5|597&4|11&5|405&5|411&3|1059&3;338&3|895&2|222&5|168&5;214&5|282&5|174&4|117&5|240&3|56&5|181&5|597&4|11&5|405&5|411&3|1059&3|338&3|895&2|222&5|168&5
538&3|358&1|301&2|286&4|289&2|302&5|324&3|313&5|271&2|315&3|258&3|895&2;264&3|316&3|751&1|343&4;538&3|358&1|301&2|286&4|289&2|302&5|324&3|313&5|271&2|315&3|258&3|895&2|264&3|316&3|751&1|343&4
14&4|9&4|100&5|1068&2|19&5|744&4|20&5|124&4|116&5|137&4|847&4|253&5;269&4|508&5|936&5|285&5;14&4|9&4|100&5|1068&2|19&5|744&4|20&5|124&4|116&5|137&4|847&4|253&5|269&4|508&5|936&5|285&5
270&1|210&4|693&4|294&4|135&5|196&3|7&4|508&4|327&3|64&4|1110&3|176&4;338&3|92&4|217&3|1218&4;270&1|210&4|693&4|294&4|135&5|196&3|7&4|508&4|327&3|64&4|1110&3|176&4|338&3|92&4|217&3|1218&4
519&4|328&2|484&5|302&4|175&5|79&2|340&3|303&3|306&3|886&2|135&4|682&2;611&4|498&4|124&4|153&4;519&4|328&2|484&5|302&4|175&5|79&2|340&3|303&3|306&3|886&2|135&4|682&2|611&4|498&4|124&4|153&4
1006&5|1149&3|1159&5|1529&3|1266&4|1524&5|221&5|268&3|357&4|896&4|666&3|1021&5;132&5|469&4|318&5|511&2;1006&5|1149&3|1159&5|1529&3|1266&4|1524&5|221&5|268&3|357&4|896&4|666&3|1021&5|132&5|469&4|318&5|511&2
474&3|244&3|153&4|628&4|1202&4|130&4|886&4|620&2|1051&4|346&5|69&1|955&1;1263&4|229&2|746&3|716&3;474&3|244&3|153&4|628&4|1202&4|130&4|886&4|620&2|1051&4|346&5|69&1|955&1|1263&4|229&2|746&3|716&3
705&4|133&2|529&5|96&4|659&3|176&4|10&4|168&3|662&2|175&3|1149&3|427&1;431&1|214&1|428&1|516&2;705&4|133&2|529&5|96&4|659&3|176&4|10&4|168&3|662&2|175&3|1149&3|427&1|431&1|214&1|428&1|516&2
254&2|81&4|64&4|659&4|550&3|662&4|175&4|665&2|697&2|926&3|2&3|118&3;127&4|164&5|136&4|203&3;254&2|81&4|64&4|659&4|550&3|662&4|175&4|665&2|697&2|926&3|2&3|118&3|127&4|164&5|136&4|203&3
750&2|269&3|301&3|270&3|316&3|346&3|312&1|896&5|344&4|286&1|303&4|340&3;689&2|338&3|326&1|322&1;750&2|269&3|301&3|270&3|316&3|346&3|312&1|896&5|344&4|286&1|303&4|340&3|689&2|338&3|326&1|322&1
990&2|323&3|688&4|289&5|286&3|127&4|50&5|181&4|264&4|1534&1|294&4|300&5;24&3|825&5|824&3|111&3;990&2|323&3|688&4|289&5|286&3|127&4|50&5|181&4|264&4|1534&1|294&4|300&5|24&3|825&5|824&3|111&3
111&3|125&1|475&4|126&4|744&3|9&3|150&5|221&2|276&4|269&4|100&4|323&1;222&3|628&1|151&4|117&3;111&3|125&1|475&4|126&4|744&3|9&3|150&5|221&2|276&4|269&4|100&4|323&1|222&3|628&1|151&4|117&3
118&5|742&3|926&4|50&5|819&2|864&2|7&4|123&4|258&4|9&2|1012&4|25&3;293&4|121&5|276&3|257&5;118&5|742&3|926&4|50&5|819&2|864&2|7&4|123&4|258&4|9&2|1012&4|25&3|293&4|121&5|276&3|257&5
602&4|111&4|56&5|100&5|156&5|125&2|10&5|223&5|657&5|96&4|48&5|628&3;214&3|631&5|523&4|429&5;602&4|111&4|56&5|100&5|156&5|125&2|10&5|223&5|657&5|96&4|48&5|628&3|214&3|631&5|523&4|429&5
284&4|293&4|19&3|127&5|306&4|276&4|14&4|255&4|10&2|286&4|296&3|290&3;316&5|308&3|304&4|309&1;284&4|293&4|19&3|127&5|306&4|276&4|14&4|255&4|10&2|286&4|296&3|290&3|316&5|308&3|304&4|309&1
1284&2|509&4|47&4|273&4|806&4|566&3|226&3|762&3|724&3|432&4|468&5|845&3;734&3|233&2|298&3|796&2;1284&2|509&4|47&4|273&4|806&4|566&3|226&3|762&3|724&3|432&4|468&5|845&3|734&3|233&2|298&3|796&2
288&5|879&4|410&5|298&5|259&5|749&3|258&4|248&5|872&5|875&3|328&4|276&5;282&5|127&4|846&5|50&5;288&5|879&4|410&5|298&5|259&5|749&3|258&4|248&5|872&5|875&3|328&4|276&5|282&5|127&4|846&5|50&5
509&4|427&4|121&1|283&5|435&4|13&4|284&4|57&1|969&4|1226&2|526&5|194&2;496&3|792&4|663&4|76&4;509&4|427&4|121&1|283&5|435&4|13&4|284&4|57&1|969&4|1226&2|526&5|194&2|496&3|792&4|663&4|76&4
57&5|462&4|61&5|286&5|181&5|288&3|166&4|275&4|116&3|475&5|324&5|269&3;345&4|237&2|936&4|121&3;57&5|462&4|61&5|286&5|181&5|288&3|166&4|275&4|116&3|475&5|324&5|269&3|345&4|237&2|936&4|121&3
174&5|514&4|182&4|318&5|194&2|98&5|87&4|183&4|8&5|478&2|23&5|79&4;1232&5|176&4|170&5|153&4;174&5|514&4|182&4|318&5|194&2|98&5|87&4|183&4|8&5|478&2|23&5|79&4|1232&5|176&4|170&5|153&4
792&5|180&4|286&5|100&4|202&4|514&5|237&5|111&4|869&4|191&5|631&4|153&4;762&5|280&3|274&4|535&4;792&5|180&4|286&5|100&4|202&4|514&5|237&5|111&4|869&4|191&5|631&4|153&4|762&5|280&3|274&4|535&4
475&4|111&3|207&3|61&5|288&3|270&4|333&4|921&4|14&5|83&3|170&5|286&2;228&4|738&4|226&3|56&5;475&4|111&3|207&3|61&5|288&3|270&4|333&4|921&4|14&5|83&3|170&5|286&2|228&4|738&4|226&3|56&5
281&3|273&4|475&4|596&3|222&4|250&2|482&3|109&3|161&3|179&3|188&4|307&3;280&2|702&5|366&3|288&3;281&3|273&4|475&4|596&3|222&4|250&2|482&3|109&3|161&3|179&3|188&4|307&3|280&2|702&5|366&3|288&3
805&4|114&5|693&4|72&4|188&3|655&4|432&2|64&5|7&5|5&4|433&3|800&1;542&4|775&1|402&3|1228&3;805&4|114&5|693&4|72&4|188&3|655&4|432&2|64&5|7&5|5&4|433&3|800&1|542&4|775&1|402&3|1228&3
245&4|117&3|690&5|258&3|357&5|511&5|28&3|144&4|188&5|99&3|294&2|486&4;197&4|134&5|622&4|82&4;245&4|117&3|690&5|258&3|357&5|511&5|28&3|144&4|188&5|99&3|294&2|486&4|197&4|134&5|622&4|82&4
193&4|566&3|507&5|921&4|56&3|469&3|955&3|628&4|153&4|58&5|483&5|953&5;515&3|25&4|215&4|699&4;193&4|566&3|507&5|921&4|56&3|469&3|955&3|628&4|153&4|58&5|483&5|953&5|515&3|25&4|215&4|699&4
123&3|651&3|187&4|31&4|96&4|79&4|22&3|11&3|29&5|928&3|173&3|496&3;790&3|763&4|780&4|655&4;123&3|651&3|187&4|31&4|96&4|79&4|22&3|11&3|29&5|928&3|173&3|496&3|790&3|763&4|780&4|655&4
603&5|186&5|90&2|403&4|729&4|204&5|709&5|196&4|520&5|523&4|401&3|257&4;210&4|300&3|306&3|177&4;603&5|186&5|90&2|403&4|729&4|204&5|709&5|196&4|520&5|523&4|401&3|257&4|210&4|300&3|306&3|177&4
180&4|70&3|22&4|763&1|271&1|7&4|191&5|171&4|65&4|455&3|546&4|582&4;387&2|949&4|664&4|448&2;180&4|70&3|22&4|763&1|271&1|7&4|191&5|171&4|65&4|455&3|546&4|582&4|387&2|949&4|664&4|448&2
307&2|327&3|270&3|678&1|302&4|272&4|286&5|300&3|1176&4|903&2|339&2|331&2;288&1|268&1|258&2|995&2;307&2|327&3|270&3|678&1|302&4|272&4|286&5|300&3|1176&4|903&2|339&2|331&2|288&1|268&1|258&2|995&2
615&4|172&3|527&4|479&4|265&3|213&5|100&4|347&3|191&4|165&5|56&4|510&4;79&4|234&4|183&4|89&4;615&4|172&3|527&4|479&4|265&3|213&5|100&4|347&3|191&4|165&5|56&4|510&4|79&4|234&4|183&4|89&4
313&3|95&2|1077&4|588&4|116&4|240&3|413&1|204&1|382&2|320&5|325&3|174&1;998&2|367&3|1079&1|715&3;313&3|95&2|1077&4|588&4|116&4|240&3|413&1|204&1|382&2|320&5|325&3|174&1|998&2|367&3|1079&1|715&3
479&4|566&4|98&5|64&4|492&4|478&5|245&2|215&5|418&5|286&4|606&5|136&5;1443&4|480&5|604&5|143&2;479&4|566&4|98&5|64&4|492&4|478&5|245&2|215&5|418&5|286&4|606&5|136&5|1443&4|480&5|604&5|143&2
344&1|300&3|899&5|328&1|333&5|301&2|302&2|258&5|331&3|346&2|750&2|362&1;327&1|269&5|1313&2|288&5;344&1|300&3|899&5|328&1|333&5|301&2|302&2|258&5|331&3|346&2|750&2|362&1|327&1|269&5|1313&2|288&5
899&3|906&3|1062&4|315&5|427&5|310&4|748&1|178&4|883&4|311&5|313&3|312&4;234&4|1126&3|124&5|9&5;899&3|906&3|1062&4|315&5|427&5|310&4|748&1|178&4|883&4|311&5|313&3|312&4|234&4|1126&3|124&5|9&5
682&4|1014&2|894&2|1243&3|1105&3|1300&2|342&2|266&1|1399&2|264&4|1237&3|879&3;935&2|1610&1|1252&3|1417&2;682&4|1014&2|894&2|1243&3|1105&3|1300&2|342&2|266&1|1399&2|264&4|1237&3|879&3|935&2|1610&1|1252&3|1417&2
186&4|13&4|399&2|47&5|246&3|90&4|744&2|818&4|249&4|80&3|58&4|69&4;625&3|501&4|48&5|214&3;186&4|13&4|399&2|47&5|246&3|90&4|744&2|818&4|249&4|80&3|58&4|69&4|625&3|501&4|48&5|214&3
214&4|27&4|755&4|1095&4|193&5|633&4|831&5|780&4|1469&4|747&5|443&4|181&5;597&5|895&4|94&5|358&5;214&4|27&4|755&4|1095&4|193&5|633&4|831&5|780&4|1469&4|747&5|443&4|181&5|597&5|895&4|94&5|358&5
546&4|451&4|69&5|85&1|234&4|208&5|94&4|216&4|64&5|148&3|239&2|56&4;794&3|118&4|1042&4|197&4;546&4|451&4|69&5|85&1|234&4|208&5|94&4|216&4|64&5|148&3|239&2|56&4|794&3|118&4|1042&4|197&4
682&1|44&3|8&5|387&1|1495&5|5&1|171&5|825&4|195&4|707&3|678&1|789&4;590&3|443&4|831&1|38&3;682&1|44&3|8&5|387&1|1495&5|5&1|171&5|825&4|195&4|707&3|678&1|789&4|590&3|443&4|831&1|38&3
327&4|566&3|12&4|233&3|443&4|258&4|581&4|470&4|234&4|98&5|452&2|173&4;1208&3|802&2|38&3|1046&3;327&4|566&3|12&4|233&3|443&4|258&4|581&4|470&4|234&4|98&5|452&2|173&4|1208&3|802&2|38&3|1046&3
1134&3|1046&2|525&5|435&4|557&3|173&5|1267&2|87&4|134&5|430&3|651&4|489&5;849&2|225&1|53&1|760&2;1134&3|1046&2|525&5|435&4|557&3|173&5|1267&2|87&4|134&5|430&3|651&4|489&5|849&2|225&1|53&1|760&2
131&5|186&3|307&4|199&4|170&4|111&4|638&3|487&5|505&5|497&4|507&3|511&5;213&5|151&5|646&4|190&5;131&5|186&3|307&4|199&4|170&4|111&4|638&3|487&5|505&5|497&4|507&3|511&5|213&5|151&5|646&4|190&5
174&5|588&2|393&2|56&3|250&3|484&3|523&4|310&3|82&4|422&2|178&4|83&5;402&4|203&4|541&3|1618&1;174&5|588&2|393&2|56&3|250&3|484&3|523&4|310&3|82&4|422&2|178&4|83&5|402&4|203&4|541&3|1618&1
298&3|750&3|272&3|121&4|313&4|1399&2|924&3|281&3|302&3|1025&2|300&4|118&4;181&4|50&4|257&4|117&4;298&3|750&3|272&3|121&4|313&4|1399&2|924&3|281&3|302&3|1025&2|300&4|118&4|181&4|50&4|257&4|117&4
943&3|1425&3|461&4|774&1|568&3|357&4|346&4|12&4|304&2|98&4|176&4|32&3;76&4|676&2|1136&1|660&3;943&3|1425&3|461&4|774&1|568&3|357&4|346&4|12&4|304&2|98&4|176&4|32&3|76&4|676&2|1136&1|660&3
881&4|342&5|333&5|288&3|304&4|902&5|879&5|313&5|301&5|323&4|289&5|294&5;338&4|286&4|339&5|326&5;881&4|342&5|333&5|288&3|304&4|902&5|879&5|313&5|301&5|323&4|289&5|294&5|338&4|286&4|339&5|326&5
249&3|1&3|286&1|124&4|276&5|741&5|1161&3|294&3|762&3|591&3|50&5|288&3;1008&4|1017&3|111&3|150&5;249&3|1&3|286&1|124&4|276&5|741&5|1161&3|294&3|762&3|591&3|50&5|288&3|1008&4|1017&3|111&3|150&5
659&4|357&5|70&2|172&5|604&3|485&4|510&4|474&3|887&4|300&3|50&5|216&4;208&3|511&5|497&2|603&2;659&4|357&5|70&2|172&5|604&3|485&4|510&4|474&3|887&4|300&3|50&5|216&4|208&3|511&5|497&2|603&2
506&5|482&4|375&4|50&3|378&4|654&4|371&5|432&3|56&5|501&3|511&5|633&5;121&4|208&4|845&4|203&3;506&5|482&4|375&4|50&3|378&4|654&4|371&5|432&3|56&5|501&3|511&5|633&5|121&4|208&4|845&4|203&3
185&4|1168&3|100&4|190&5|514&2|423&3|199&3|419&3|38&2|7&3|59&4|211&3;118&2|208&2|670&1|270&3;185&4|1168&3|100&4|190&5|514&2|423&3|199&3|419&3|38&2|7&3|59&4|211&3|118&2|208&2|670&1|270&3
206&4|151&4|317&4|1078&3|135&1|529&4|684&4|210&5|259&5|100&3|1079&4|1119&5;1188&3|409&2|1133&3|828&3;206&4|151&4|317&4|1078&3|135&1|529&4|684&4|210&5|259&5|100&3|1079&4|1119&5|1188&3|409&2|1133&3|828&3
698&4|463&4|505&4|705&4|182&5|474&4|100&5|289&4|447&4|462&3|199&4|414&4;321&4|162&4|694&5|510&5;698&4|463&4|505&4|705&4|182&5|474&4|100&5|289&4|447&4|462&3|199&4|414&4|321&4|162&4|694&5|510&5
603&5|199&4|417&4|83&3|195&4|483&5|1299&4|657&5|611&5|650&2|228&5|511&4;161&2|98&2|186&4|175&2;603&5|199&4|417&4|83&3|195&4|483&5|1299&4|657&5|611&5|650&2|228&5|511&4|161&2|98&2|186&4|175&2
131&3|608&4|117&4|196&4|154&3|191&4|408&4|268&2|7&5|603&4|1065&5|156&5;209&5|188&5|509&4|318&4;131&3|608&4|117&4|196&4|154&3|191&4|408&4|268&2|7&5|603&4|1065&5|156&5|209&5|188&5|509&4|318&4
300&3|358&3|504&5|654&4|923&5|268&4|269&4|171&5|176&4|806&4|302&5|172&4;28&4|55&3|185&4|4&3;300&3|358&3|504&5|654&4|923&5|268&4|269&4|171&5|176&4|806&4|302&5|172&4|28&4|55&3|185&4|4&3
537&3|111&4|915&3|195&2|300&4|127&5|290&2|354&1|902&2|169&3|258&2|515&5;216&3|531&3|205&4|82&4;537&3|111&4|915&3|195&2|300&4|127&5|290&2|354&1|902&2|169&3|258&2|515&5|216&3|531&3|205&4|82&4
609&3|203&5|28&2|65&4|714&3|890&1|58&4|433&4|209&5|1097&2|318&4|498&4;529&5|1099&4|499&3|1159&2;609&3|203&5|28&2|65&4|714&3|890&1|58&4|433&4|209&5|1097&2|318&4|498&4|529&5|1099&4|499&3|1159&2
815&3|222&3|824&3|257&4|1067&4|235&3|122&3|288&4|276&3|118&2|250&4|117&4;1365&2|240&4|456&3|591&4;815&3|222&3|824&3|257&4|1067&4|235&3|122&3|288&4|276&3|118&2|250&4|117&4|1365&2|240&4|456&3|591&4
945&5|451&4|790&4|746&3|346&1|659&4|498&5|300&5|69&4|150&1|1&4|21&3;926&3|369&3|67&5|158&4;945&5|451&4|790&4|746&3|346&1|659&4|498&5|300&5|69&4|150&1|1&4|21&3|926&3|369&3|67&5|158&4
174&5|210&5|326&3|192&4|510&3|322&4|98&5|651&5|195&5|328&4|176&5|429&4;234&5|143&4|504&3|662&4;174&5|210&5|326&3|192&4|510&3|322&4|98&5|651&5|195&5|328&4|176&5|429&4|234&5|143&4|504&3|662&4
222&3|202&3|181&5|180&3|96&4|173&5|98&3|28&3|169&3|423&4|174&4|48&4;79&3|318&4|73&3|168&3;222&3|202&3|181&5|180&3|96&4|173&5|98&3|28&3|169&3|423&4|174&4|48&4|79&3|318&4|73&3|168&3
611&5|89&4|507&4|531&4|210&4|654&5|603&5|192&5|216&4|357&5|286&3|268&3;42&3|238&4|174&5|429&4;611&5|89&4|507&4|531&4|210&4|654&5|603&5|192&5|216&4|357&5|286&3|268&3|42&3|238&4|174&5|429&4
430&5|8&4|39&4|302&5|1131&5|386&3|222&3|342&4|1041&3|52&3|207&3|319&3;661&4|550&3|407&3|277&4;430&5|8&4|39&4|302&5|1131&5|386&3|222&3|342&4|1041&3|52&3|207&3|319&3|661&4|550&3|407&3|277&4
302&4|313&3|292&3|258&4|321&3|272&5|303&3|300&3|289&3|288&3|237&3|315&4;325&1|245&3|294&3|322&2;302&4|313&3|292&3|258&4|321&3|272&5|303&3|300&3|289&3|288&3|237&3|315&4|325&1|245&3|294&3|322&2
625&3|663&4|210&4|1065&3|153&3|671&5|479&5|173&4|176&4|662&3|258&3|133&5;404&4|660&2|737&3|215&4;625&3|663&4|210&4|1065&3|153&3|671&5|479&5|173&4|176&4|662&3|258&3|133&5|404&4|660&2|737&3|215&4
527&4|135&3|286&2|15&4|521&5|523&4|1&4|273&4|205&4|690&4|212&5|127&1;522&5|818&5|42&5|202&5;527&4|135&3|286&2|15&4|521&5|523&4|1&4|273&4|205&4|690&4|212&5|127&1|522&5|818&5|42&5|202&5
322&4|333&5|286&2|313&5|328&4|315&4|288&5|331&5|1038&3|272&4|294&3|690&2;682&3|271&4|325&5|347&5;322&4|333&5|286&2|313&5|328&4|315&4|288&5|331&5|1038&3|272&4|294&3|690&2|682&3|271&4|325&5|347&5
258&4|689&5|300&5|294&3|350&5|748&1|312&5|313&4|288&4|879&5|268&2|332&5;683&1|264&1|322&3|323&2;258&4|689&5|300&5|294&3|350&5|748&1|312&5|313&4|288&4|879&5|268&2|332&5|683&1|264&1|322&3|323&2
747&3|202&3|175&3|1101&4|1012&3|89&4|378&4|1014&2|692&4|1008&4|100&5|645&3;498&5|1396&4|447&3|166&3;747&3|202&3|175&3|1101&4|1012&3|89&4|378&4|1014&2|692&4|1008&4|100&5|645&3|498&5|1396&4|447&3|166&3
298&5|300&5|250&5|691&5|892&5|352&1|315&5|310&4|690&4|754&5|271&5|895&5;1034&5|827&5|1016&5|597&5;298&5|300&5|250&5|691&5|892&5|352&1|315&5|310&4|690&4|754&5|271&5|895&5|1034&5|827&5|1016&5|597&5
1&5|288&4|282&3|181&4|323&2|121&4|118&4|258&5|100&4|866&4|678&3|50&5;620&3|225&3|411&3|237&4;1&5|288&4|282&3|181&4|323&2|121&4|118&4|258&5|100&4|866&4|678&3|50&5|620&3|225&3|411&3|237&4
194&3|284&3|371&4|1248&3|199&4|215&3|662&3|566&5|1263&3|433&2|70&4|332&3;916&2|983&3|751&3|610&3;194&3|284&3|371&4|1248&3|199&4|215&3|662&3|566&5|1263&3|433&2|70&4|332&3|916&2|983&3|751&3|610&3
770&3|414&4|746&3|68&3|298&4|789&2|461&2|588&3|705&5|203&3|582&4|632&3;433&3|616&3|17&2|402&2;770&3|414&4|746&3|68&3|298&4|789&2|461&2|588&3|705&5|203&3|582&4|632&3|433&3|616&3|17&2|402&2
70&5|871&2|1011&2|153&5|1079&1|959&3|585&3|66&3|94&3|765&4|111&3|15&4;591&5|124&1|546&3|121&4;70&5|871&2|1011&2|153&5|1079&1|959&3|585&3|66&3|94&3|765&4|111&3|15&4|591&5|124&1|546&3|121&4
549&2|275&3|778&3|925&2|143&4|526&5|720&3|566&3|939&2|597&4|282&3|776&2;66&4|576&4|895&3|77&3;549&2|275&3|778&3|925&2|143&4|526&5|720&3|566&3|939&2|597&4|282&3|776&2|66&4|576&4|895&3|77&3
129&4|246&5|1007&4|14&4|508&2|137&4|127&5|124&4|1142&5|150&5|242&3|268&5;116&5|1129&4|275&5|547&3;129&4|246&5|1007&4|14&4|508&2|137&4|127&5|124&4|1142&5|150&5|242&3|268&5|116&5|1129&4|275&5|547&3
215&2|83&4|22&4|629&4|454&3|364&5|107&4|412&1|173&5|477&3|399&4|225&1;219&4|637&2|5&4|39&3;215&2|83&4|22&4|629&4|454&3|364&5|107&4|412&1|173&5|477&3|399&4|225&1|219&4|637&2|5&4|39&3
174&3|255&3|1048&2|269&4|117&3|274&4|106&4|244&4|16&1|1010&2|24&1|107&3;171&1|8&3|64&4|210&2;174&3|255&3|1048&2|269&4|117&3|274&4|106&4|244&4|16&1|1010&2|24&1|107&3|171&1|8&3|64&4|210&2
385&4|827&3|56&5|226&5|118&2|161&5|79&4|147&3|930&3|55&3|568&3|841&3;127&4|89&4|183&4|172&4;385&4|827&3|56&5|226&5|118&2|161&5|79&4|147&3|930&3|55&3|568&3|841&3|127&4|89&4|183&4|172&4
847&4|515&5|124&5|283&4|127&5|475&4|117&4|1142&4|137&5|19&4|303&4|744&5;525&5|747&4|223&4|42&3;847&4|515&5|124&5|283&4|127&5|475&4|117&4|1142&4|137&5|19&4|303&4|744&5|525&5|747&4|223&4|42&3
211&3|514&3|210&3|83&4|480&4|835&3|659&3|381&5|638&4|215&3|7&4|482&4;383&3|203&4|197&4|443&4;211&3|514&3|210&3|83&4|480&4|835&3|659&3|381&5|638&4|215&3|7&4|482&4|383&3|203&4|197&4|443&4
50&5|96&3|128&4|178&5|160&1|228&4|941&2|939&4|1067&5|188&4|746&3|233&3;940&2|659&4|693&4|1489&1;50&5|96&3|128&4|178&5|160&1|228&4|941&2|939&4|1067&5|188&4|746&3|233&3|940&2|659&4|693&4|1489&1
1393&3|288&4|326&4|286&2|358&3|302&3|678&4|300&5|289&1|682&4|294&5|332&4;881&4|873&4|261&1|292&3;1393&3|288&4|326&4|286&2|358&3|302&3|678&4|300&5|289&1|682&4|294&5|332&4|881&4|873&4|261&1|292&3
372&3|1180&3|702&3|1183&3|181&5|49&5|1190&4|4&5|62&5|88&5|210&5|824&3;134&4|396&1|158&3|157&3;372&3|1180&3|702&3|1183&3|181&5|49&5|1190&4|4&5|62&5|88&5|210&5|824&3|134&4|396&1|158&3|157&3
945&4|482&3|588&3|192&5|611&3|14&3|527&5|136&4|648&4|494&3|591&1|215&5;427&5|378&1|196&5|205&1;945&4|482&3|588&3|192&5|611&3|14&3|527&5|136&4|648&4|494&3|591&1|215&5|427&5|378&1|196&5|205&1
526&5|179&1|435&4|173&5|50&4|88&5|174&4|584&3|480&5|181&4|205&4|588&5;428&1|946&5|502&2|662&2;526&5|179&1|435&4|173&5|50&4|88&5|174&4|584&3|480&5|181&4|205&4|588&5|428&1|946&5|502&2|662&2
